"time_value","geo_value_fullname","fips","value"
2021-08-28,"Hawaii","15",53
2021-08-28,"Idaho","16",71
2021-08-28,"Illinois","17",244
2021-08-28,"Indiana","18",194
2021-08-28,"Iowa","19",54
2021-08-28,"Kansas","20",109
2021-08-28,"Kentucky","21",279
2021-08-28,"Louisiana","22",453
2021-08-28,"Maine","23",16
2021-08-28,"Maryland","24",71
2021-08-28,"Massachusetts","25",50
2021-08-28,"Michigan","26",110
2021-08-28,"Minnesota","27",56
2021-08-28,"Mississippi","28",333
2021-08-28,"Missouri","29",328
2021-08-28,"Montana","30",41
2021-08-28,"Nebraska","31",38
2021-08-28,"Nevada","32",170
2021-08-28,"New Hampshire","33",17
2021-08-28,"New Jersey","34",111
2021-08-28,"New Mexico","35",76
2021-08-28,"North Carolina","37",518
2021-08-28,"North Dakota","38",8
2021-08-28,"Ohio","39",257
2021-08-28,"Oklahoma","40",299
2021-08-28,"Oregon","41",198
2021-08-28,"Pennsylvania","42",193
2021-08-28,"Rhode Island","44",12
2021-08-28,"South Carolina","45",375
2021-08-28,"South Dakota","46",13
2021-08-28,"Tennessee","47",509
2021-08-28,"Texas","48",2219
2021-08-28,"Utah","49",60
2021-08-28,"Vermont","50",4
2021-08-28,"Virginia","51",186
2021-08-28,"Washington","53",200
2021-08-28,"West Virginia","54",77
2021-08-28,"Wisconsin","55",109
2021-08-28,"Wyoming","56",31
2021-08-28,"New York","36",214
2021-08-28,"US","US",14174
2021-09-04,"Alabama","01",528
2021-09-04,"Alaska","02",38
2021-09-04,"Arizona","04",279
2021-09-04,"Arkansas","05",211
2021-09-04,"California","06",1100
2021-09-04,"Colorado","08",90
2021-09-04,"Connecticut","09",44
2021-09-04,"Delaware","10",22
2021-09-04,"District of Columbia","11",11
2021-09-04,"Florida","12",2799
2021-09-04,"Georgia","13",995
2021-09-04,"Hawaii","15",58
2021-09-04,"Idaho","16",85
2021-09-04,"Illinois","17",280
2021-09-04,"Indiana","18",226
2021-09-04,"Iowa","19",77
2021-09-04,"Kansas","20",117
2021-09-04,"Kentucky","21",375
2021-09-04,"Louisiana","22",405
2021-09-04,"Maine","23",19
2021-09-04,"Maryland","24",97
2021-09-04,"Massachusetts","25",64
2021-09-04,"Michigan","26",162
2021-09-04,"Minnesota","27",56
2021-09-04,"Mississippi","28",317
2021-09-04,"Missouri","29",282
2021-09-04,"Montana","30",41
2021-09-04,"Nebraska","31",31
2021-09-04,"Nevada","32",152
2021-09-04,"New Hampshire","33",14
2021-09-04,"New Jersey","34",122
2021-09-04,"New Mexico","35",74
2021-09-04,"North Carolina","37",640
2021-09-04,"North Dakota","38",9
2021-09-04,"Ohio","39",358
2021-09-04,"Oklahoma","40",361
2021-09-04,"Oregon","41",252
2021-09-04,"Pennsylvania","42",238
2021-09-04,"Rhode Island","44",11
2021-09-04,"South Carolina","45",427
2021-09-04,"South Dakota","46",28
2021-09-04,"Tennessee","47",617
2021-09-04,"Texas","48",2302
2021-09-04,"Utah","49",61
2021-09-04,"Vermont","50",6
2021-09-04,"Virginia","51",214
2021-09-04,"Washington","53",271
2021-09-04,"West Virginia","54",116
2021-09-04,"Wisconsin","55",119
2021-09-04,"Wyoming","56",40
2021-09-04,"New York","36",252
2021-09-04,"US","US",15493
2021-09-11,"Alabama","01",564
2021-09-11,"Alaska","02",28
2021-09-11,"Arizona","04",277
2021-09-11,"Arkansas","05",191
2021-09-11,"California","06",1140
2021-09-11,"Colorado","08",98
2021-09-11,"Connecticut","09",41
2021-09-11,"Delaware","10",27
2021-09-11,"District of Columbia","11",8
2021-09-11,"Florida","12",2369
2021-09-11,"Georgia","13",963
2021-09-11,"Hawaii","15",67
2021-09-11,"Idaho","16",116
2021-09-11,"Illinois","17",314
2021-09-11,"Indiana","18",294
2021-09-11,"Iowa","19",79
2021-09-11,"Kansas","20",125
2021-09-11,"Kentucky","21",379
2021-09-11,"Louisiana","22",314
2021-09-11,"Maine","23",35
2021-09-11,"Maryland","24",111
2021-09-11,"Massachusetts","25",67
2021-09-11,"Michigan","26",170
2021-09-11,"Minnesota","27",71
2021-09-11,"Mississippi","28",301
2021-09-11,"Missouri","29",219
2021-09-11,"Montana","30",58
2021-09-11,"Nebraska","31",33
2021-09-11,"Nevada","32",182
2021-09-11,"New Hampshire","33",20
2021-09-11,"New Jersey","34",123
2021-09-11,"New Mexico","35",111
2021-09-11,"North Carolina","37",618
2021-09-11,"North Dakota","38",18
2021-09-11,"Ohio","39",432
2021-09-11,"Oklahoma","40",337
2021-09-11,"Oregon","41",228
2021-09-11,"Pennsylvania","42",263
2021-09-11,"Rhode Island","44",29
2021-09-11,"South Carolina","45",481
2021-09-11,"South Dakota","46",19
2021-09-11,"Tennessee","47",700
2021-09-11,"Texas","48",2203
2021-09-11,"Utah","49",65
2021-09-11,"Vermont","50",8
2021-09-11,"Virginia","51",249
2021-09-11,"Washington","53",272
2021-09-11,"West Virginia","54",148
2021-09-11,"Wisconsin","55",137
2021-09-11,"Wyoming","56",37
2021-09-11,"New York","36",279
2021-09-11,"US","US",15418
2021-09-18,"Alabama","01",486
2021-09-18,"Alaska","02",38
2021-09-18,"Arizona","04",268
2021-09-18,"Arkansas","05",181
2021-09-18,"California","06",1010
2021-09-18,"Colorado","08",116
2021-09-18,"Connecticut","09",43
2021-09-18,"Delaware","10",37
2021-09-18,"District of Columbia","11",7
2021-09-18,"Florida","12",1877
2021-09-18,"Georgia","13",938
2021-09-18,"Hawaii","15",60
2021-09-18,"Idaho","16",150
2021-09-18,"Illinois","17",291
2021-09-18,"Indiana","18",321
2021-09-18,"Iowa","19",100
2021-09-18,"Kansas","20",116
2021-09-18,"Kentucky","21",416
2021-09-18,"Louisiana","22",328
2021-09-18,"Maine","23",29
2021-09-18,"Maryland","24",113
2021-09-18,"Massachusetts","25",74
2021-09-18,"Michigan","26",221
2021-09-18,"Minnesota","27",89
2021-09-18,"Mississippi","28",254
2021-09-18,"Missouri","29",244
2021-09-18,"Montana","30",66
2021-09-18,"Nebraska","31",32
2021-09-18,"Nevada","32",167
2021-09-18,"New Hampshire","33",16
2021-09-18,"New Jersey","34",135
2021-09-18,"New Mexico","35",87
2021-09-18,"North Carolina","37",669
2021-09-18,"North Dakota","38",16
2021-09-18,"Ohio","39",568
2021-09-18,"Oklahoma","40",329
2021-09-18,"Oregon","41",212
2021-09-18,"Pennsylvania","42",325
2021-09-18,"Rhode Island","44",14
2021-09-18,"South Carolina","45",538
2021-09-18,"South Dakota","46",22
2021-09-18,"Tennessee","47",745
2021-09-18,"Texas","48",2063
2021-09-18,"Utah","49",72
