"time_value","fips","geo_value_fullname","age_group","value"
2020-12-26,"72","Puerto Rico","0-130",10
2020-12-26,"44","Rhode Island","0-130",0
2020-12-26,"45","South Carolina","0-130",10
2020-12-26,"46","South Dakota","0-130",1
2020-12-26,"47","Tennessee","0-130",41
2020-12-26,"48","Texas","0-130",263
2020-12-26,"US","US","0-130",753
2020-12-26,"49","Utah","0-130",0
2020-12-26,"50","Vermont","0-130",0
2020-12-26,"78","Virgin Islands","0-130",0
2020-12-26,"51","Virginia","0-130",39
2020-12-26,"53","Washington","0-130",3
2020-12-26,"54","West Virginia","0-130",5
2020-12-26,"55","Wisconsin","0-130",2
2020-12-26,"56","Wyoming","0-130",0
2021-01-02,"01","Alabama","0-130",20
2021-01-02,"02","Alaska","0-130",0
2021-01-02,"04","Arizona","0-130",44
2021-01-02,"05","Arkansas","0-130",20
2021-01-02,"06","California","0-130",51
2021-01-02,"08","Colorado","0-130",0
2021-01-02,"09","Connecticut","0-130",1
2021-01-02,"11","District of Columbia","0-130",0
2021-01-02,"12","Florida","0-130",31
2021-01-02,"13","Georgia","0-130",36
2021-01-02,"66","Guam","0-130",0
2021-01-02,"15","Hawaii","0-130",0
2021-01-02,"16","Idaho","0-130",0
2021-01-02,"17","Illinois","0-130",8
2021-01-02,"18","Indiana","0-130",4
2021-01-02,"19","Iowa","0-130",7
2021-01-02,"20","Kansas","0-130",1
2021-01-02,"21","Kentucky","0-130",5
2021-01-02,"22","Louisiana","0-130",16
2021-01-02,"23","Maine","0-130",0
2021-01-02,"24","Maryland","0-130",4
2021-01-02,"25","Massachusetts","0-130",7
2021-01-02,"26","Michigan","0-130",5
2021-01-02,"27","Minnesota","0-130",0
2021-01-02,"28","Mississippi","0-130",5
2021-01-02,"29","Missouri","0-130",6
2021-01-02,"30","Montana","0-130",0
2021-01-02,"31","Nebraska","0-130",0
2021-01-02,"32","Nevada","0-130",17
2021-01-02,"33","New Hampshire","0-130",1
2021-01-02,"34","New Jersey","0-130",10
2021-01-02,"35","New Mexico","0-130",1
2021-01-02,"36","New York","0-130",21
2021-01-02,"37","North Carolina","0-130",15
2021-01-02,"38","North Dakota","0-130",0
2021-01-02,"69","Northern Mariana Islands","0-130",0
2021-01-02,"39","Ohio","0-130",21
2021-01-02,"40","Oklahoma","0-130",22
2021-01-02,"41","Oregon","0-130",2
2021-01-02,"42","Pennsylvania","0-130",14
2021-01-02,"72","Puerto Rico","0-130",7
2021-01-02,"44","Rhode Island","0-130",0
2021-01-02,"45","South Carolina","0-130",13
2021-01-02,"46","South Dakota","0-130",0
2021-01-02,"47","Tennessee","0-130",34
2021-01-02,"48","Texas","0-130",250
2021-01-02,"US","US","0-130",743
2021-01-02,"49","Utah","0-130",1
2021-01-02,"50","Vermont","0-130",0
2021-01-02,"78","Virgin Islands","0-130",2
2021-01-02,"51","Virginia","0-130",37
2021-01-02,"53","Washington","0-130",0
2021-01-02,"54","West Virginia","0-130",4
2021-01-02,"55","Wisconsin","0-130",0
2021-01-02,"56","Wyoming","0-130",0
2021-01-09,"01","Alabama","0-130",33
2021-01-09,"02","Alaska","0-130",0
2021-01-09,"04","Arizona","0-130",9
2021-01-09,"05","Arkansas","0-130",20
2021-01-09,"06","California","0-130",75
2021-01-09,"08","Colorado","0-130",0
2021-01-09,"09","Connecticut","0-130",1
2021-01-09,"11","District of Columbia","0-130",0
2021-01-09,"12","Florida","0-130",40
2021-01-09,"13","Georgia","0-130",22
2021-01-09,"66","Guam","0-130",0
2021-01-09,"15","Hawaii","0-130",0
2021-01-09,"16","Idaho","0-130",2
2021-01-09,"17","Illinois","0-130",10
2021-01-09,"18","Indiana","0-130",6
2021-01-09,"19","Iowa","0-130",2
2021-01-09,"20","Kansas","0-130",2
2021-01-09,"21","Kentucky","0-130",7
2021-01-09,"22","Louisiana","0-130",4
2021-01-09,"23","Maine","0-130",0
2021-01-09,"24","Maryland","0-130",10
2021-01-09,"25","Massachusetts","0-130",3
2021-01-09,"26","Michigan","0-130",6
2021-01-09,"27","Minnesota","0-130",1
2021-01-09,"28","Mississippi","0-130",28
2021-01-09,"29","Missouri","0-130",13
2021-01-09,"30","Montana","0-130",0
2021-01-09,"31","Nebraska","0-130",2
2021-01-09,"32","Nevada","0-130",9
2021-01-09,"33","New Hampshire","0-130",0
2021-01-09,"34","New Jersey","0-130",11
2021-01-09,"35","New Mexico","0-130",3
2021-01-09,"36","New York","0-130",11
2021-01-09,"37","North Carolina","0-130",12
2021-01-09,"38","North Dakota","0-130",1
2021-01-09,"69","Northern Mariana Islands","0-130",0
2021-01-09,"39","Ohio","0-130",11
2021-01-09,"40","Oklahoma","0-130",20
2021-01-09,"41","Oregon","0-130",0
2021-01-09,"42","Pennsylvania","0-130",16
2021-01-09,"72","Puerto Rico","0-130",16
2021-01-09,"44","Rhode Island","0-130",0
2021-01-09,"45","South Carolina","0-130",5
2021-01-09,"46","South Dakota","0-130",1
2021-01-09,"47","Tennessee","0-130",26
2021-01-09,"48","Texas","0-130",126
2021-01-09,"US","US","0-130",604
2021-01-09,"49","Utah","0-130",0
2021-01-09,"50","Vermont","0-130",0
2021-01-09,"78","Virgin Islands","0-130",2
2021-01-09,"51","Virginia","0-130",30
2021-01-09,"53","Washington","0-130",2
2021-01-09,"54","West Virginia","0-130",6
2021-01-09,"55","Wisconsin","0-130",0
2021-01-09,"56","Wyoming","0-130",0
2021-01-16,"01","Alabama","0-130",42
2021-01-16,"02","Alaska","0-130",0
2021-01-16,"04","Arizona","0-130",14
2021-01-16,"05","Arkansas","0-130",17
2021-01-16,"06","California","0-130",45
2021-01-16,"08","Colorado","0-130",4
2021-01-16,"09","Connecticut","0-130",1
2021-01-16,"11","District of Columbia","0-130",0
2021-01-16,"12","Florida","0-130",48
2021-01-16,"13","Georgia","0-130",40
2021-01-16,"66","Guam","0-130",0
2021-01-16,"15","Hawaii","0-130",0
2021-01-16,"16","Idaho","0-130",2
2021-01-16,"17","Illinois","0-130",4
2021-01-16,"18","Indiana","0-130",5
2021-01-16,"19","Iowa","0-130",7
