location,date,age_group,target,value,population,value_numeric
49,2023-02-25,75-130,inc hosp,2.867832,159324.0,2.867832
49,2023-02-18,75-130,rate hosp,0.0,159324.0,0.0
49,2023-02-18,75-130,inc hosp,0.0,159324.0,0.0
49,2023-02-11,75-130,rate hosp,1.8,159324.0,1.8
49,2023-02-11,75-130,inc hosp,2.867832,159324.0,2.867832
49,2023-02-04,75-130,rate hosp,1.8,159324.0,1.8
49,2023-02-04,75-130,inc hosp,2.867832,159324.0,2.867832
49,2023-01-28,75-130,rate hosp,1.8,159324.0,1.8
49,2023-01-28,75-130,inc hosp,2.867832,159324.0,2.867832
49,2023-01-21,75-130,rate hosp,1.8,159324.0,1.8
49,2023-01-21,75-130,inc hosp,2.867832,159324.0,2.867832
49,2023-01-14,75-130,rate hosp,1.8,159324.0,1.8
49,2023-01-14,75-130,inc hosp,2.867832,159324.0,2.867832
49,2023-01-07,75-130,rate hosp,3.7,159324.0,3.7
49,2023-01-07,75-130,inc hosp,5.894988,159324.0,5.894988
49,2022-12-31,75-130,rate hosp,7.3,159324.0,7.3
49,2022-12-31,75-130,inc hosp,11.630652,159324.0,11.630652
49,2022-12-24,75-130,rate hosp,9.1,159324.0,9.1
49,2022-12-24,75-130,inc hosp,14.498484,159324.0,14.498484
49,2022-12-17,75-130,rate hosp,9.1,159324.0,9.1
49,2022-12-17,75-130,inc hosp,14.498484,159324.0,14.498484
49,2022-12-10,75-130,rate hosp,14.6,159324.0,14.6
49,2022-12-10,75-130,inc hosp,23.261304,159324.0,23.261304
49,2022-12-03,75-130,rate hosp,12.8,159324.0,12.8
49,2022-12-03,75-130,inc hosp,20.393472,159324.0,20.393472
49,2022-11-26,75-130,rate hosp,9.1,159324.0,9.1
49,2022-11-26,75-130,inc hosp,14.498484,159324.0,14.498484
49,2022-11-19,75-130,rate hosp,3.7,159324.0,3.7
49,2022-11-19,75-130,inc hosp,5.894988,159324.0,5.894988
49,2022-11-12,75-130,rate hosp,1.8,159324.0,1.8
49,2022-11-12,75-130,inc hosp,2.867832,159324.0,2.867832
49,2022-11-05,75-130,rate hosp,0.0,159324.0,0.0
49,2022-11-05,75-130,inc hosp,0.0,159324.0,0.0
49,2022-10-29,75-130,rate hosp,1.8,159324.0,1.8
49,2022-10-29,75-130,inc hosp,2.867832,159324.0,2.867832
49,2022-10-22,75-130,rate hosp,1.8,159324.0,1.8
49,2022-10-22,75-130,inc hosp,2.867832,159324.0,2.867832
49,2022-10-15,75-130,rate hosp,0.0,159324.0,0.0
49,2022-10-15,75-130,inc hosp,0.0,159324.0,0.0
49,2022-10-08,75-130,rate hosp,0.0,159324.0,0.0
49,2022-10-08,75-130,inc hosp,0.0,159324.0,0.0
49,2023-09-30,65-74,rate hosp,0.0,245876.0,0.0
49,2023-09-30,65-74,inc hosp,0.0,245876.0,0.0
49,2023-09-23,65-74,rate hosp,0.0,245876.0,0.0
49,2023-09-23,65-74,inc hosp,0.0,245876.0,0.0
49,2023-09-16,65-74,rate hosp,0.0,245876.0,0.0
49,2023-09-16,65-74,inc hosp,0.0,245876.0,0.0
